     t   Part   Pven IMPLAD
0.22000 6699.74502 2642.88885 7591.42424
0.22100 6706.57786 2643.10836 7590.05613
0.22200 6713.06980 2643.32798 7588.26763
0.22300 6719.21945 2643.54772 7586.06608
0.22400 6725.02548 2643.76758 7583.45882
0.22500 6730.48698 2643.98754 7580.45322
0.22600 6735.60335 2644.20763 7577.05660
0.22700 6740.37426 2644.42782 7573.27632
0.22800 6744.79977 2644.64813 7569.11969
0.22900 6748.88013 2644.86854 7564.59401
0.23000 6752.61586 2645.08907 7559.70656
0.23100 6756.00780 2645.30971 7554.46459
0.23200 6759.05713 2645.53046 7548.87533
0.23300 6761.76527 2645.75132 7542.94597
0.23400 6764.13376 2645.97229 7536.68369
0.23500 6766.16453 2646.19337 7530.09561
0.23600 6767.85973 2646.41456 7523.18885
0.23700 6769.22173 2646.63585 7515.97047
0.23800 6770.25316 2646.85725 7508.44751
0.23900 6770.95683 2647.07875 7500.62699
0.24000 6771.33577 2647.30036 7492.51586
0.24100 6771.39321 2647.52208 7484.12107
0.24200 6771.13255 2647.74390 7475.44949
0.24300 6770.55738 2647.96582 7466.50799
0.24400 6769.67145 2648.18785 7457.30337
0.24500 6768.47864 2648.40998 7447.84240
0.24600 6766.98299 2648.63221 7438.13179
0.24700 6765.18868 2648.85454 7428.17823
0.24800 6763.09998 2649.07697 7417.98833
0.24900 6760.72129 2649.29950 7407.56868
0.25000 6758.05712 2649.52213 7396.92579
0.25100 6755.11203 2649.74486 7386.06612
0.25200 6751.89069 2649.96768 7374.99607
0.25300 6748.39785 2650.19060 7363.72198
0.25400 6744.63828 2650.41362 7352.25016
0.25500 6740.61684 2650.63673 7340.58695
0.25600 6736.33842 2650.85993 7328.73820
0.25700 6731.80795 2651.08323 7316.71006
0.25800 6727.03036 2651.30662 7304.50854
0.25900 6722.01065 2651.53011 7292.13955
0.26000 6716.75379 2651.75368 7279.60892
0.26100 6711.26477 2651.97734 7266.92240
0.26200 6705.54858 2652.20109 7254.08565
0.26300 6699.61021 2652.42493 7241.10424
0.26400 6693.45462 2652.64886 7227.98364
0.26500 6687.08676 2652.87287 7214.72925
0.26600 6680.51155 2653.09697 7201.34636
0.26700 6673.73390 2653.32116 7187.84016
0.26800 6666.75866 2653.54542 7174.21574
0.26900 6659.59065 2653.76977 7160.47811
0.27000 6652.23465 2653.99420 7146.63214
0.27100 6644.69540 2654.21871 7132.68262
0.27200 6636.97758 2654.44330 7118.63424
0.27300 6629.08597 2654.66797 7104.49156
0.27400 6621.02504 2654.89272 7090.25907
0.27500 6612.79923 2655.11754 7075.94111
0.27600 6604.41298 2655.34244 7061.54185
0.27700 6595.87068 2655.56741 7047.06547
0.27800 6587.17663 2655.79245 7032.51597
0.27900 6578.33508 2656.01757 7017.89724
0.28000 6569.35019 2656.24276 7003.21306
0.28100 6560.22606 2656.46802 6988.46710
0.28200 6550.96671 2656.69335 6973.66290
0.28300 6541.57608 2656.91874 6958.80388
0.28400 6532.05803 2657.14421 6943.89335
0.28500 6522.41635 2657.36973 6928.93451
0.28600 6512.65474 2657.59533 6913.93043
0.28700 6502.77683 2657.82098 6898.88406
0.28800 6492.78616 2658.04670 6883.79823
0.28900 6482.68618 2658.27248 6868.67566
0.29000 6472.48027 2658.49833 6853.51893
0.29100 6462.17172 2658.72422 6838.33054
0.29200 6451.76375 2658.95018 6823.11283
0.29300 6441.25948 2659.17620 6807.86804
0.29400 6430.66197 2659.40227 6792.59830
0.29500 6419.97417 2659.62839 6777.30559
0.29600 6409.19893 2659.85457 6761.99180
0.29700 6398.33904 2660.08080 6746.65871
0.29800 6387.39720 2660.30708 6731.30794
0.29900 6376.37604 2660.53341 6715.94104
0.30000 6365.27809 2660.75979 6700.55942
0.30100 6354.10582 2660.98622 6685.16438
0.30200 6342.86159 2661.21269 6669.75709
0.30300 6331.54769 2661.43921 6654.33863
0.30400 6320.16634 2661.66577 6638.90995
0.30500 6308.71966 2661.89238 6623.47187
0.30600 6297.20970 2662.11903 6608.02514
0.30700 6285.63843 2662.34571 6592.57038
0.30800 6274.00774 2662.57244 6577.10809
0.30900 6262.31945 2662.79920 6561.63867
0.31000 6250.57527 2663.02600 6546.16240
0.31100 6238.77687 2663.25284 6530.67946
0.31200 6226.92583 2663.47971 6515.18992
0.31300 6215.02365 2663.70662 6499.55849
0.31400 6203.07176 2663.93355 6483.53555
0.31500 6191.07151 2664.16052 6467.12308
0.31600 6179.02418 2664.38752 6450.32309
0.31700 6166.93098 2664.61454 6433.13766
0.31800 6154.79304 2664.84159 6415.56890
0.31900 6142.61143 2665.06867 6397.61899
0.32000 6130.38714 2665.29577 6379.29013
0.32100 6118.12110 2665.52290 6360.58458
0.32200 6105.81414 2665.75005 6341.50466
0.32300 6093.46707 2665.97722 6322.05272
0.32400 6081.08059 2666.20441 6302.23115
0.32500 6068.65535 2666.43162 6282.04239
0.32600 6056.19195 2666.65884 6261.48895
0.32700 6043.69089 2666.88609 6240.57336
0.32800 6031.15262 2667.11334 6219.29819
0.32900 6018.57758 2667.34061 6197.66607
0.33000 6005.96594 2667.56790 6175.67967
0.33100 5993.31833 2667.79519 6153.34171
0.33200 5980.63436 2668.02250 6130.65494
0.33300 5967.91373 2668.24981 6107.62217
0.33400 5955.23362 2668.47713 6084.24623
0.33500 5942.75383 2668.70446 6060.53001
0.33600 5930.48462 2668.93179 6036.47645
0.33700 5918.41580 2669.15913 6012.08851
0.33800 5906.54629 2669.38647 5987.36920
0.33900 5894.87164 2669.61381 5962.32158
0.34000 5883.38867 2669.84116 5936.94875
0.34100 5872.09387 2670.06850 5911.25383
0.34200 5860.98391 2670.29584 5885.24002
0.34300 5850.05547 2670.52318 5858.91051
0.34400 5839.30533 2670.75051 5832.26857
0.34500 5828.73029 2670.97784 5805.31748
0.34600 5818.32723 2671.20517 5778.06059
0.34700 5808.09308 2671.43249 5750.50127
0.34800 5798.02484 2671.65980 5722.64292
0.34900 5788.11953 2671.88710 5694.48899
0.35000 5778.37424 2672.11439 5666.04297
0.35100 5768.78613 2672.34167 5451.00377
0.35200 5759.35239 2672.56894 5244.08983
0.35300 5750.07027 2672.79620 5044.99578
0.35400 5740.93705 2673.02344 4853.42797
0.35500 5731.95008 2673.25067 4669.10395
0.35600 5723.10675 2673.47789 4491.75227
0.35700 5714.40450 2673.70509 4321.11169
0.35800 5705.84081 2673.93227 4156.93042
0.35900 5697.41321 2674.15944 3998.96658
0.36000 5689.11927 2674.38659 3846.98741
0.36100 5680.95661 2674.61372 3700.76895
0.36200 5672.92288 2674.84083 3560.09572
0.36300 5665.01579 2675.06792 3424.76037
0.36400 5657.23307 2675.29499 3294.56332
